timestamp_robot,time_elapsed_sec,event_flag,event_label,current_event_type,current_note_number,current_note_name,current_string,remaining_duration_sec,TCP_pose_x,TCP_pose_y,TCP_pose_z,TCP_pose_rx,TCP_pose_ry,TCP_pose_rz,q_base,q_shoulder,q_elbow,q_wrist1,q_wrist2,q_wrist3,TCP_force_x,TCP_force_y,TCP_force_z,TCP_force_rx,TCP_force_ry,TCP_force_rz
9445.416000,0.000000,3,START d_bow,Note,62,D4,A,0.498958,0.351021,0.656353,0.176843,-1.661089,-2.080772,1.037507,-2.338711,-0.584910,1.149962,-1.362194,-1.367577,-2.642334,-1.516424,0.071236,0.182787,-0.151808,-0.016101,0.107999
9445.424000,0.008000,3,START d_bow,Note,62,D4,A,0.490958,0.351012,0.656354,0.176829,-1.661040,-2.080799,1.037513,-2.338699,-0.584891,1.149967,-1.362209,-1.367577,-2.642364,-1.376531,0.043912,0.076639,-0.146667,-0.010801,0.105447
9445.432000,0.016000,3,START d_bow,Note,62,D4,A,0.482958,0.351009,0.656359,0.176866,-1.661070,-2.080837,1.037428,-2.338692,-0.584938,1.149956,-1.362221,-1.367577,-2.642349,-1.386549,0.072853,-0.107482,-0.152710,-0.010340,0.107247
9445.504000,0.088000,3,START d_bow,Note,62,D4,A,0.410958,0.351006,0.656356,0.176853,-1.661059,-2.080825,1.037497,-2.338692,-0.584929,1.149970,-1.362197,-1.367593,-2.642349,-1.536671,-0.118020,0.312112,-0.147127,-0.015874,0.100148
9445.512000,0.096000,3,START d_bow,Note,62,D4,A,0.402958,0.350994,0.656356,0.176839,-1.661042,-2.080799,1.037543,-2.338680,-0.584926,1.150004,-1.362197,-1.367577,-2.642346,-1.324370,-0.327181,0.135814,-0.140144,-0.009291,0.101399
9445.520000,0.104000,3,START d_bow,Note,62,D4,A,0.894958,0.350997,0.656364,0.176843,-1.661054,-2.080795,1.037541,-2.338676,-0.584914,1.149966,-1.362175,-1.367574,-2.642334,-1.337036,0.036435,0.029022,-0.153409,-0.012181,0.104364
9445.608000,0.192000,3,START d_bow,Note,62,D4,A,0.806958,0.351004,0.656356,0.176849,-1.661032,-2.080836,1.037502,-2.338688,-0.584922,1.149970,-1.362197,-1.367593,-2.642368,-1.326188,0.474913,-0.128946,-0.157805,-0.008163,0.109606
9445.616000,0.200000,3,START d_bow,Note,62,D4,A,0.798958,0.351012,0.656356,0.176856,-1.661044,-2.080827,1.037451,-2.338695,-0.584922,1.149956,-1.362213,-1.367574,-2.642368,-1.433473,-0.179533,-0.013054,-0.144922,-0.013376,0.105121
9445.624000,0.208000,3,START d_bow,Note,62,D4,A,0.790958,0.351010,0.656346,0.176838,-1.661032,-2.080780,1.037556,-2.338703,-0.584922,1.150001,-1.362178,-1.367581,-2.642368,-1.365565,-0.130916,0.187420,-0.143697,-0.013699,0.102235
9445.704000,0.288000,3,START d_bow,Note,62,D4,A,0.710958,0.350994,0.656363,0.176837,-1.661037,-2.080832,1.037532,-2.338672,-0.584907,1.149970,-1.362197,-1.367593,-2.642349,0.434971,-0.872981,0.278309,0.013745,0.001309,-0.013700
9445.712000,0.296000,3,START d_bow,Note,62,D4,A,0.702958,0.350981,0.656360,0.176812,-1.660990,-2.080789,1.037597,-2.338661,-0.584891,1.150013,-1.362194,-1.367562,-2.642364,-0.008033,-0.686205,0.330539,0.010585,-0.003908,-0.010985
9445.720000,0.304000,3,START d_bow,Note,62,D4,A,0.694958,0.350998,0.656363,0.176845,-1.661031,-2.080842,1.037489,-2.338676,-0.584910,1.149959,-1.362209,-1.367584,-2.642361,-0.064026,-0.576950,0.170977,0.009987,-0.002219,-0.011849
9445.752000,0.336000,3,START d_bow,Note,62,D4,A,0.662958,0.351008,0.656355,0.176827,-1.661049,-2.080778,1.037545,-2.338695,-0.584895,1.149977,-1.362194,-1.367574,-2.642349,0.287324,-0.771986,0.018767,0.015014,0.005320,-0.013450
9445.784000,0.368000,3,START d_bow,Note,62,D4,A,0.630958,0.351024,0.656373,0.176863,-1.661092,-2.080833,1.037470,-2.338695,-0.584895,1.149868,-1.362158,-1.367601,-2.642330,0.114832,-0.259822,-0.219261,0.004961,0.005995,-0.005368
9445.808000,0.392000,3,START d_bow,Note,62,D4,A,0.606958,0.351042,0.656405,0.176896,-1.661067,-2.080893,1.037389,-2.338680,-0.584851,1.149685,-1.362078,-1.367598,-2.642352,0.369397,-0.167920,-0.169631,0.004695,0.009793,-0.003434
9445.816000,0.400000,3,START d_bow,Note,62,D4,A,0.598958,0.351031,0.656428,0.176902,-1.661057,-2.080936,1.037441,-2.338649,-0.584826,1.149611,-1.362011,-1.367629,-2.642337,0.523870,-0.690801,-0.216402,0.015642,0.014514,-0.010245
9445.824000,0.408000,3,START d_bow,Note,62,D4,A,0.590958,0.351054,0.656437,0.176908,-1.661065,-2.080969,1.037430,-2.338663,-0.584790,1.149515,-1.361967,-1.367665,-2.642346,0.153618,-0.491294,-0.100371,0.012781,0.006710,-0.004766
9445.912000,0.496000,3,START d_bow,Note,62,D4,A,0.502958,0.351046,0.657057,0.176688,-1.660749,-2.081964,1.038537,-2.338089,-0.583288,1.146896,-1.360471,-1.368429,-2.642158,0.171893,-0.632548,-0.203575,0.058886,0.036471,0.037186
9445.920000,0.504000,3,START d_bow,Note,62,D4,A,0.494958,0.351026,0.657179,0.176626,-1.660675,-2.082126,1.038723,-2.337957,-0.582989,1.146440,-1.360247,-1.368522,-2.642115,0.260537,-0.448513,-0.119810,0.055717,0.042452,0.044977
