timestamp_robot,time_elapsed_sec,event_label,current_event_type,bow_direction,current_string,remaining_duration_sec,TCP_pose_x,TCP_pose_y,TCP_pose_z,TCP_pose_rx,TCP_pose_ry,TCP_pose_rz,q_base,q_shoulder,q_elbow,q_wrist1,q_wrist2,q_wrist3,qd_base,qd_shoulder,qd_elbow,qd_wrist1,qd_wrist2,qd_wrist3
4089.620000,0.000000,END d_bow,Note,0,D,0.998958,0.302731,0.747147,0.117586,-1.663379,-2.084111,1.038184,-2.217070,-0.373658,0.882464,-1.328633,-1.287627,-2.550145,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000
4089.628000,0.008000,END d_bow,Note,0,D,0.990958,0.302721,0.747155,0.117601,-1.663386,-2.084146,1.038147,-2.217055,-0.373674,0.882456,-1.328645,-1.287634,-2.550133,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000
4089.636000,0.016000,END d_bow,Note,0,D,0.982958,0.302722,0.747158,0.117636,-1.663350,-2.084194,1.038096,-2.217051,-0.373708,0.882432,-1.328621,-1.287641,-2.550164,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000
4089.700000,0.080000,END d_bow,Note,0,D,0.918958,0.302736,0.747151,0.117604,-1.663401,-2.084114,1.038126,-2.217073,-0.373674,0.882448,-1.328645,-1.287618,-2.550133,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000
4089.708000,0.088000,END d_bow,Note,0,D,0.910958,0.302698,0.747166,0.117600,-1.663376,-2.084195,1.038135,-2.217024,-0.373670,0.882448,-1.328663,-1.287646,-2.550122,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000
4089.716000,0.096000,END d_bow,Note,0,D,0.902958,0.302711,0.747162,0.117606,-1.663381,-2.084171,1.038102,-2.217039,-0.373674,0.882445,-1.328670,-1.287626,-2.550129,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000
4089.772000,0.152000,END d_bow,Note,0,D,0.846958,0.302735,0.747150,0.117602,-1.663409,-2.084155,1.038089,-2.217073,-0.373670,0.882448,-1.328683,-1.287641,-2.550133,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000
4089.804000,0.184000,END d_bow,Note,0,D,0.814958,0.302711,0.747159,0.117627,-1.663334,-2.084177,1.038153,-2.217039,-0.373705,0.882448,-1.328598,-1.287634,-2.550164,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000
4089.812000,0.192000,END d_bow,Note,0,D,0.806958,0.302726,0.747158,0.117632,-1.663401,-2.084181,1.038098,-2.217058,-0.373705,0.882432,-1.328633,-1.287653,-2.550129,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000
4089.820000,0.200000,END d_bow,Note,0,D,0.798958,0.302723,0.747153,0.117609,-1.663389,-2.084137,1.038133,-2.217058,-0.373689,0.882468,-1.328648,-1.287626,-2.550133,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000
4089.852000,0.232000,END d_bow,Note,0,D,0.766958,0.302750,0.747147,0.117597,-1.663398,-2.084113,1.038094,-2.217089,-0.373655,0.882432,-1.328664,-1.287615,-2.550149,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000
4089.908000,0.288000,END d_bow,Note,0,D,0.710958,0.302715,0.747162,0.117610,-1.663376,-2.084183,1.038112,-2.217043,-0.373674,0.882432,-1.328652,-1.287641,-2.550137,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000
4089.916000,0.296000,END d_bow,Note,0,D,0.702958,0.302744,0.747153,0.117615,-1.663389,-2.084124,1.038074,-2.217077,-0.373670,0.882417,-1.328648,-1.287607,-2.550149,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000
4089.924000,0.304000,END d_bow,Note,0,D,0.694958,0.302713,0.747164,0.117608,-1.663374,-2.084158,1.038115,-2.217039,-0.373670,0.882432,-1.328648,-1.287618,-2.550133,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000
4089.988000,0.368000,END d_bow,Note,0,D,0.630958,0.302745,0.747204,0.117679,-1.663374,-2.084313,1.037799,-2.217039,-0.373622,0.882149,-1.328647,-1.287634,-2.550161,0.000000,0.002054,-0.011291,0.003269,-0.000000,-0.000000
4090.012000,0.392000,END d_bow,Note,0,D,0.606958,0.302778,0.747263,0.117749,-1.663391,-2.084337,1.037636,-2.217027,-0.373542,0.881793,-1.328486,-1.287594,-2.550149,0.000379,0.006440,-0.017219,0.009359,0.000557,-0.000000
4090.020000,0.400000,END d_bow,Note,0,D,0.598958,0.302804,0.747277,0.117753,-1.663441,-2.084351,1.037643,-2.217046,-0.373490,0.881661,-1.328414,-1.287638,-2.550126,0.000841,0.008706,-0.019083,0.010254,0.000648,-0.000000
4090.028000,0.408000,END d_bow,Note,0,D,0.590958,0.302815,0.747304,0.117745,-1.663444,-2.084324,1.037660,-2.217038,-0.373403,0.881496,-1.328322,-1.287618,-2.550114,0.001689,0.011087,-0.020816,0.011739,0.001457,-0.000000
4090.036000,0.416000,END d_bow,Note,0,D,0.582958,0.302830,0.747332,0.117756,-1.663422,-2.084374,1.037578,-2.217029,-0.373323,0.881301,-1.328266,-1.287618,-2.550133,0.002406,0.013621,-0.023820,0.013123,0.000995,0.000477
4090.044000,0.424000,END d_bow,Note,0,D,0.574958,0.302832,0.747369,0.117735,-1.663405,-2.084338,1.037599,-2.217002,-0.373203,0.881105,-1.328170,-1.287570,-2.550121,0.003126,0.014278,-0.025766,0.013261,0.001884,0.001254
4090.108000,0.488000,END d_bow,Note,0,D,0.510958,0.302744,0.747910,0.117562,-1.663537,-2.084361,1.037781,-2.216528,-0.371798,0.878561,-1.327055,-1.287379,-2.549656,0.010817,0.031168,-0.056567,0.027955,0.005205,0.011593
4090.116000,0.496000,END d_bow,Note,0,D,0.502958,0.302731,0.748010,0.117524,-1.663577,-2.084303,1.037870,-2.216443,-0.371531,0.878088,-1.326809,-1.287319,-2.549553,0.013179,0.033756,-0.062085,0.032055,0.005820,0.011549
4090.124000,0.504000,END d_bow,Note,0,D,0.494958,0.302725,0.748132,0.117523,-1.663634,-2.084307,1.037836,-2.216351,-0.371255,0.877501,-1.326555,-1.287268,-2.549441,0.014037,0.035741,-0.069811,0.035065,0.006833,0.012338
4090.132000,0.512000,END d_bow,Note,0,D,0.486958,0.302694,0.748261,0.117494,-1.663614,-2.084324,1.037888,-2.216224,-0.370940,0.876904,-1.326265,-1.287208,-2.549361,0.015104,0.038884,-0.077055,0.036007,0.007266,0.011621
4090.212000,0.592000,END d_bow,Note,0,D,0.406958,0.302629,0.749545,0.117266,-1.663783,-2.084458,1.038180,-2.215231,-0.367634,0.870417,-1.323180,-1.286812,-2.548484,0.006429,0.029179,-0.063256,0.027558,0.004225,0.008244
4090.220000,0.600000,END d_bow,Note,0,D,0.398958,0.302670,0.749612,0.117273,-1.663825,-2.084413,1.038146,-2.215223,-0.367440,0.869984,-1.322965,-1.286773,-2.548443,0.004905,0.026838,-0.056593,0.023942,0.003138,0.006907
4090.228000,0.608000,END d_bow,Note,0,D,0.390958,0.302684,0.749683,0.117257,-1.663835,-2.084446,1.038150,-2.215186,-0.367226,0.869569,-1.322779,-1.286780,-2.548410,0.002680,0.022287,-0.047125,0.019812,0.003055,0.004890
4090.292000,0.672000,START d_bow,Transition,1,D-G,0.526958,0.302885,0.749605,0.117399,-1.664186,-2.084181,1.037811,-2.215456,-0.367446,0.869649,-1.322837,-1.286741,-2.548335,-0.017898,-0.038853,0.070192,-0.029466,-0.003800,-0.006065
