timestamp_robot,time_elapsed_sec,event_label,current_event_type,bow_direction,current_string,remaining_duration_sec,TCP_pose_x,TCP_pose_y,TCP_pose_z,TCP_pose_rx,TCP_pose_ry,TCP_pose_rz,q_base,q_shoulder,q_elbow,q_wrist1,q_wrist2,q_wrist3,qd_base,qd_shoulder,qd_elbow,qd_wrist1,qd_wrist2,qd_wrist3
3901.954000,0.000000,END g_bow,None,0,,0.000000,0.263813,0.611587,0.098047,-1.829346,-1.938870,0.502754,-2.298974,-0.598426,1.552436,-2.146983,-1.135668,-2.436860,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000
3901.962000,0.008000,END g_bow,None,0,,0.000000,0.263819,0.611591,0.098062,-1.829362,-1.938863,0.502712,-2.298978,-0.598445,1.552425,-2.146987,-1.135664,-2.436844,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000
3901.970000,0.016000,END g_bow,None,0,,0.000000,0.263813,0.611596,0.098058,-1.829339,-1.938882,0.502721,-2.298966,-0.598433,1.552412,-2.146980,-1.135664,-2.436856,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000
3902.002000,0.048000,END g_bow,None,0,,0.000000,0.263820,0.611586,0.098063,-1.829358,-1.938872,0.502672,-2.298985,-0.598448,1.552436,-2.147021,-1.135664,-2.436853,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000
3902.010000,0.056000,END g_bow,None,0,,0.000000,0.263821,0.611588,0.098073,-1.829331,-1.938883,0.502671,-2.298981,-0.598460,1.552425,-2.146994,-1.135656,-2.436872,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000
3902.018000,0.064000,END g_bow,None,0,,0.000000,0.263819,0.611595,0.098084,-1.829366,-1.938841,0.502673,-2.298974,-0.598479,1.552428,-2.146987,-1.135640,-2.436825,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000
3902.026000,0.072000,END g_bow,None,0,,0.000000,0.263824,0.611593,0.098068,-1.829343,-1.938889,0.502655,-2.298981,-0.598444,1.552406,-2.147006,-1.135664,-2.436863,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000
3902.034000,0.080000,END g_bow,None,0,,0.000000,0.263804,0.611602,0.098074,-1.829344,-1.938919,0.502683,-2.298950,-0.598460,1.552412,-2.146990,-1.135683,-2.436844,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000
3902.106000,0.152000,END g_bow,None,0,,0.000000,0.263802,0.611601,0.098063,-1.829356,-1.938893,0.502698,-2.298950,-0.598444,1.552421,-2.147006,-1.135671,-2.436829,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000
3902.114000,0.160000,END g_bow,None,0,,0.000000,0.263810,0.611595,0.098063,-1.829336,-1.938865,0.502712,-2.298962,-0.598445,1.552425,-2.146987,-1.135646,-2.436848,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000
3902.122000,0.168000,END g_bow,None,0,,0.000000,0.263812,0.611598,0.098069,-1.829331,-1.938898,0.502686,-2.298962,-0.598448,1.552409,-2.146987,-1.135664,-2.436860,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000
