timestamp_robot,time_elapsed_sec,event_flag,event_label,current_event_type,current_note_number,current_note_name,current_string,remaining_duration_sec,TCP_pose_x,TCP_pose_y,TCP_pose_z,TCP_pose_rx,TCP_pose_ry,TCP_pose_rz,q_base,q_shoulder,q_elbow,q_wrist1,q_wrist2,q_wrist3,TCP_force_x,TCP_force_y,TCP_force_z,TCP_force_rx,TCP_force_ry,TCP_force_rz
9536.510000,0.000000,4,END d_bow,None,,,,0.000000,0.359741,0.705506,0.165157,-1.663396,-2.084314,1.037847,-2.304247,-0.459025,0.922972,-1.267772,-1.347627,-2.615784,0.274980,-0.685662,-0.636821,0.018795,0.020183,0.006484
9536.518000,0.008000,4,END d_bow,None,,,,0.000000,0.359756,0.705507,0.165156,-1.663447,-2.084251,1.037821,-2.304262,-0.459013,0.922952,-1.267775,-1.347592,-2.615752,-0.015805,-0.900484,-0.337718,0.020265,0.012995,-0.002440
9536.526000,0.016000,4,END d_bow,None,,,,0.000000,0.359744,0.705502,0.165152,-1.663421,-2.084302,1.037868,-2.304256,-0.459029,0.922989,-1.267775,-1.347639,-2.615768,0.280995,-1.268438,-0.383518,0.023312,0.015042,-0.006595
9536.534000,0.024000,4,END d_bow,None,,,,0.000000,0.359754,0.705503,0.165172,-1.663424,-2.084285,1.037800,-2.304262,-0.459041,0.922964,-1.267775,-1.347605,-2.615775,0.071907,-1.253333,-0.161250,0.025744,0.003538,-0.007307
9536.542000,0.032000,4,END d_bow,None,,,,0.000000,0.359754,0.705501,0.165167,-1.663435,-2.084271,1.037845,-2.304266,-0.459041,0.922973,-1.267756,-1.347616,-2.615764,-0.100285,-1.187129,-0.037905,0.020525,-0.001045,-0.005143
9536.550000,0.040000,4,END d_bow,None,,,,0.000000,0.359756,0.705506,0.165168,-1.663441,-2.084315,1.037764,-2.304262,-0.459025,0.922945,-1.267806,-1.347620,-2.615768,0.125524,-1.039454,-0.331471,0.023620,0.013567,-0.002304
9536.558000,0.048000,4,END d_bow,None,,,,0.000000,0.359753,0.705507,0.165179,-1.663431,-2.084290,1.037800,-2.304259,-0.459041,0.922945,-1.267760,-1.347608,-2.615768,0.237395,-1.039898,-0.204239,0.025415,0.012927,-0.003390
9536.566000,0.056000,4,END d_bow,None,,,,0.000000,0.359740,0.705505,0.165165,-1.663395,-2.084311,1.037854,-2.304247,-0.459041,0.922980,-1.267760,-1.347627,-2.615784,0.172992,-0.872277,-0.336654,0.018940,0.009997,0.000610
9536.574000,0.064000,4,END d_bow,None,,,,0.000000,0.359759,0.705502,0.165175,-1.663469,-2.084305,1.037804,-2.304271,-0.459044,0.922957,-1.267779,-1.347643,-2.615749,0.181754,-0.665651,-0.608596,0.017976,0.017285,0.004983
9536.582000,0.072000,4,END d_bow,None,,,,0.000000,0.359727,0.705517,0.165160,-1.663395,-2.084319,1.037857,-2.304225,-0.459025,0.922961,-1.267760,-1.347620,-2.615768,0.393360,-0.682986,-0.650866,0.021729,0.023877,0.006127
9536.590000,0.080000,4,END d_bow,None,,,,0.000000,0.359770,0.705500,0.165182,-1.663456,-2.084299,1.037779,-2.304281,-0.459041,0.922933,-1.267767,-1.347631,-2.615768,0.192328,-0.881867,-0.505926,0.023188,0.018478,-0.000444
9536.638000,0.128000,4,END d_bow,None,,,,0.000000,0.359752,0.705505,0.165178,-1.663420,-2.084332,1.037800,-2.304259,-0.459041,0.922945,-1.267768,-1.347639,-2.615780,0.504330,-1.005234,-0.642880,0.025669,0.025518,0.000960
9536.646000,0.136000,4,END d_bow,None,,,,0.000000,0.359738,0.705507,0.165161,-1.663412,-2.084278,1.037817,-2.304244,-0.459037,0.922989,-1.267791,-1.347588,-2.615768,0.243763,-1.077001,-0.427781,0.024026,0.014173,-0.005191
9536.654000,0.144000,4,END d_bow,None,,,,0.000000,0.359723,0.705513,0.165160,-1.663395,-2.084323,1.037859,-2.304225,-0.459041,0.922992,-1.267775,-1.347624,-2.615768,0.090838,-1.062867,-0.561787,0.026463,0.015997,-0.002615
9536.742000,0.232000,4,END d_bow,None,,,,0.000000,0.359755,0.705501,0.165173,-1.663440,-2.084305,1.037789,-2.304266,-0.459044,0.922968,-1.267791,-1.347624,-2.615768,0.076020,-0.812294,-0.512119,0.022292,0.016280,-0.004674
9536.750000,0.240000,4,END d_bow,None,,,,0.000000,0.359761,0.705495,0.165175,-1.663403,-2.084314,1.037794,-2.304274,-0.459044,0.922964,-1.267775,-1.347627,-2.615803,0.190980,-1.391169,-0.182520,0.026363,0.006702,-0.009415
9536.758000,0.248000,4,END d_bow,None,,,,0.000000,0.359724,0.705516,0.165153,-1.663406,-2.084310,1.037885,-2.304225,-0.459025,0.922977,-1.267760,-1.347627,-2.615756,0.227612,-1.030458,-0.258888,0.021626,0.008593,-0.006259
9536.838000,0.328000,4,END d_bow,None,,,,0.000000,0.359747,0.705499,0.165159,-1.663409,-2.084267,1.037864,-2.304259,-0.459041,0.922996,-1.267760,-1.347608,-2.615776,-0.272681,-0.774589,0.483512,0.011472,-0.014153,-0.013931
9536.846000,0.336000,4,END d_bow,None,,,,0.000000,0.359739,0.705507,0.165159,-1.663390,-2.084333,1.037850,-2.304244,-0.459025,0.922964,-1.267767,-1.347639,-2.615787,-0.297143,-0.427206,0.655797,0.007922,-0.018600,-0.009524
9536.854000,0.344000,4,END d_bow,None,,,,0.000000,0.359746,0.705510,0.165171,-1.663387,-2.084336,1.037809,-2.304247,-0.459025,0.922933,-1.267760,-1.347627,-2.615795,-0.323049,-0.786151,0.703654,0.010909,-0.023395,-0.014245
9536.862000,0.352000,4,END d_bow,None,,,,0.000000,0.359751,0.705505,0.165163,-1.663425,-2.084341,1.037826,-2.304259,-0.459025,0.922949,-1.267775,-1.347658,-2.615775,0.048984,-0.624998,0.585098,0.008309,-0.012528,-0.014736
9536.870000,0.360000,4,END d_bow,None,,,,0.000000,0.359751,0.705515,0.165181,-1.663431,-2.084314,1.037794,-2.304251,-0.459029,0.922913,-1.267751,-1.347620,-2.615764,-0.344126,-0.276673,0.514771,0.003532,-0.016267,-0.008188
