timestamp_robot,time_elapsed_sec,event_label,current_event_type,bow_direction,current_string,remaining_duration_sec,TCP_pose_x,TCP_pose_y,TCP_pose_z,TCP_pose_rx,TCP_pose_ry,TCP_pose_rz,q_base,q_shoulder,q_elbow,q_wrist1,q_wrist2,q_wrist3,qd_base,qd_shoulder,qd_elbow,qd_wrist1,qd_wrist2,qd_wrist3
4137.482000,0.000000,END d_bow,Note,0,D,0.998958,0.303011,0.747749,0.117569,-1.663422,-2.085070,1.039736,-2.216935,-0.371817,0.878242,-1.325505,-1.288906,-2.550053,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000
4137.522000,0.040000,END d_bow,Note,0,D,0.958958,0.303016,0.747758,0.117584,-1.663464,-2.085057,1.039673,-2.216935,-0.371817,0.878204,-1.325516,-1.288887,-2.550021,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000
4137.530000,0.048000,END d_bow,Note,0,D,0.950958,0.303035,0.747742,0.117574,-1.663473,-2.085021,1.039701,-2.216966,-0.371820,0.878238,-1.325517,-1.288891,-2.550033,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000
4137.538000,0.056000,END d_bow,Note,0,D,0.942958,0.303035,0.747742,0.117559,-1.663471,-2.084997,1.039760,-2.216966,-0.371801,0.878235,-1.325490,-1.288891,-2.550030,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000
4137.562000,0.080000,END d_bow,Note,0,D,0.918958,0.303034,0.747744,0.117566,-1.663453,-2.085028,1.039721,-2.216963,-0.371801,0.878219,-1.325502,-1.288894,-2.550046,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000
4137.626000,0.144000,END d_bow,Note,0,D,0.854958,0.303035,0.747743,0.117563,-1.663471,-2.085020,1.039730,-2.216966,-0.371801,0.878226,-1.325505,-1.288899,-2.550033,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000
4137.634000,0.152000,END d_bow,Note,0,D,0.846958,0.303036,0.747747,0.117573,-1.663460,-2.085022,1.039697,-2.216963,-0.371805,0.878211,-1.325505,-1.288884,-2.550041,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000
4137.642000,0.160000,END d_bow,Note,0,D,0.838958,0.303031,0.747742,0.117556,-1.663418,-2.085024,1.039749,-2.216959,-0.371789,0.878223,-1.325490,-1.288887,-2.550068,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000
4137.706000,0.224000,END d_bow,Note,0,D,0.774958,0.303027,0.747750,0.117584,-1.663442,-2.085059,1.039695,-2.216951,-0.371817,0.878204,-1.325493,-1.288899,-2.550049,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000
4137.730000,0.248000,END d_bow,Note,0,D,0.750958,0.303048,0.747738,0.117569,-1.663470,-2.085037,1.039690,-2.216982,-0.371805,0.878219,-1.325521,-1.288910,-2.550049,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000
4137.738000,0.256000,END d_bow,Note,0,D,0.742958,0.303052,0.747737,0.117570,-1.663448,-2.085033,1.039694,-2.216985,-0.371801,0.878211,-1.325505,-1.288903,-2.550068,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000
4137.746000,0.264000,END d_bow,Note,0,D,0.734958,0.303029,0.747750,0.117581,-1.663464,-2.085040,1.039689,-2.216954,-0.371817,0.878211,-1.325505,-1.288891,-2.550033,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000
4137.786000,0.304000,END d_bow,Note,0,D,0.694958,0.303018,0.747748,0.117552,-1.663426,-2.085047,1.039751,-2.216944,-0.371786,0.878226,-1.325505,-1.288899,-2.550053,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000
4137.834000,0.352000,END d_bow,Note,0,D,0.646958,0.303024,0.747750,0.117574,-1.663439,-2.085086,1.039661,-2.216947,-0.371805,0.878208,-1.325536,-1.288906,-2.550053,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000
4137.842000,0.360000,END d_bow,Note,0,D,0.638958,0.303036,0.747741,0.117579,-1.663432,-2.085060,1.039716,-2.216966,-0.371820,0.878223,-1.325490,-1.288915,-2.550068,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000
4137.850000,0.368000,END d_bow,Note,0,D,0.630958,0.303022,0.747748,0.117567,-1.663443,-2.085065,1.039717,-2.216947,-0.371805,0.878223,-1.325512,-1.288910,-2.550046,0.000000,0.000000,-0.000295,-0.000000,-0.000000,-0.000000
4137.858000,0.376000,END d_bow,Note,0,D,0.622958,0.303012,0.747750,0.117565,-1.663424,-2.085084,1.039735,-2.216935,-0.371805,0.878226,-1.325505,-1.288918,-2.550053,0.000000,0.000000,-0.001033,-0.000000,-0.000000,-0.000000
