timestamp,event,TCP_pose,joint_angles,TCP_force
0.0,END d_bow,"[0.25993297003454136, 0.7026132376209617, 0.12490515838989419, -1.9980693918516614, -1.8182700206671663, 0.5598559585588855]","[-2.2221811453448694, -0.55094929159198, 1.3296259085284632, -1.9992009601988734, -1.1242755095111292, -2.2041624228106897]","[0.37216444513103725, 2.937931753851759, -1.1019752550806337, -0.07746498837806495, 0.0028223671055585737, 0.021144766445699053]"
0.2560000000000855,START g_bow,"[0.2599513643511721, 0.702598247868479, 0.1248828497794246, -1.9981206537062726, -1.8182250775350677, 0.5599401359870554]","[-2.22221547762026, -0.5509385627559205, 1.3296569029437464, -1.9991737804808558, -1.1242945829974573, -2.2041590849505823]","[0.5099494616049473, 0.7816064832827397, -0.06265156854493623, -0.00858229077000643, 0.014594957332892374, 0.011400983979750425]"
1.6079999999999472,END g_bow,"[0.2302001548824922, 0.582990705005954, 0.11352324301085566, -2.0273071209441835, -1.8159057233408766, 0.5755494968360174]","[-2.3032036463366907, -0.7162404817393799, 1.7552374045001429, -2.219079156915182, -1.1723998228656214, -2.268289391194479]","[-0.540685514764799, 0.6867005494220745, 0.2209971255866212, -0.08211652286402354, -0.029756097403018635, -0.17518501666071637]"
1.6320000000000618,START g_bow,"[0.2301770869048724, 0.5830158408063992, 0.11352014112063738, -2.0273059056616707, -1.8159694924169207, 0.5755581880780507]","[-2.3031492869006556, -0.7162212890437623, 1.7551935354815882, -2.219067235986227, -1.1724274794207972, -2.2682622114764612]","[-1.0222356316230174, -0.13164957943744143, 1.1273862160368395, -0.08705183540616511, -0.05488424836932636, -0.1593089829108669]"
2.2560000000000855,END g_bow,"[0.23814534360270484, 0.6148878758537103, 0.11657760848867746, -2.0194455328605265, -1.8167092129587703, 0.571231582113564]","[-2.2787302176104944, -0.6781962674907227, 1.6506622473346155, -2.163960119287008, -1.1581910292254847, -2.2487338224994105]","[-0.0897467192724275, -0.6281610537960659, -0.6795523078717098, 0.035526161261353634, 0.013138643026758315, 0.024607841994432736]"
2.2799999999999727,START g_bow,"[0.2381568413295145, 0.6148891169542576, 0.11658881767679936, -2.01946813203876, -1.8166355646653478, 0.571236490927729]","[-2.2787426153766077, -0.6782118839076539, 1.6506598631488245, -2.163940568963522, -1.1581552664386194, -2.248702351246969]","[0.5483907372942634, -0.2417124704719264, -1.111397334029752, 0.03948046143496417, 0.02945859154928436, 0.03177604389125109]"
2.9039999999999964,END g_bow,"[0.2301552702573011, 0.5829807714620875, 0.11344699999792698, -2.0272324669453012, -1.8158813268929521, 0.5758577705108568]","[-2.3031542936908167, -0.7161410611918946, 1.755301300679342, -2.2190190754332484, -1.1723640600787562, -2.2683170477496546]","[-1.21886756126398, -0.5429426325442401, 1.0610001129705442, -0.08297817430340047, -0.056674082058121036, -0.17196802742905093]"
2.928000000000111,START g_bow,"[0.23014960833987583, 0.5830025495365901, 0.11346212779776124, -2.02724061062715, -1.8159382852135224, 0.5757752734641565]","[-2.3031252066241663, -0.7161446374705811, 1.7552478949176233, -2.219034811059469, -1.1723879019366663, -2.2682951132403772]","[-0.15962112311966803, 0.7575142616438234, 0.2649680710932337, -0.07857430016441504, -0.012534211628710774, -0.14864561846649987]"
4.183999999999969,END g_bow,"[0.259882609969676, 0.702596530569778, 0.12478098763520672, -1.9979442341847988, -1.8182873597251281, 0.5603229290157178]","[-2.2221325079547327, -0.5508257907680054, 1.3297079245196741, -1.999047418633932, -1.1242392698871058, -2.204275910054342]","[0.08968348383932626, 0.3294674659319668, 0.01773061600816249, -0.017926064846990997, 0.018430333312137944, 0.045017863226933935]"
4.208000000000084,START g_bow,"[0.25989730080481216, 0.702593231877555, 0.12480953956276158, -1.9979180988666885, -1.818248652339196, 0.560213458365547]","[-2.2221487204181116, -0.5508534473231812, 1.3297045866595667, -1.9990936718382777, -1.124188248311178, -2.204275433217184]","[0.1349723727615861, 0.552565914442703, 0.2317324938708072, -0.014138334411371432, 0.012701303756140009, 0.030042345127414723]"
