timestamp,event,TCP_pose,joint_angles,TCP_force
0.0,END g_bow,"[0.2812035827451062, 0.6816589248133054, 0.1046583029081604, -1.812195679297884, -1.940146071692242, 0.4937513139817911]","[-2.2523158232318323, -0.49695856988940434, 1.2897627989398401, -2.009134431878561, -1.108715836201803, -2.400457207356588]","[-0.23304989923045683, 1.9574990143587156, -1.6317043954481598, -0.02155822389650664, 0.020880683862984296, -0.009140399861110184]"
0.2719999999999345,START g_bow,"[0.2812086003659939, 0.6816533571133682, 0.10466606535253917, -1.8122224769960862, -1.9401456976551505, 0.4937488393051911]","[-2.2523277441607874, -0.4969807428172608, 1.2897823492633265, -2.009134431878561, -1.108734432850973, -2.400450054799215]","[-0.23772221142472016, -0.4060851310020343, 0.044928749690309536, 0.007987213042029703, -0.006266850748113198, -0.009763335934444435]"
1.0319999999999254,END g_bow,"[0.2731537747038, 0.6497981240962047, 0.10160835790243541, -1.819912567873363, -1.9395357353238671, 0.49809565749999]","[-2.2722538153277796, -0.5463814300349732, 1.4147499243365687, -2.074188371697897, -1.1203268210040491, -2.41591459909548]","[-0.6505242059835126, -0.9098956955782396, 0.9607631927434035, -0.05163151817775779, -0.0379591127457979, -0.18349341982045334]"
1.0559999999998126,START g_to_d,"[0.27316277193849114, 0.6498088199153568, 0.1016504660250284, -1.8199002701649774, -1.9395933934197505, 0.49800859927732394]","[-2.2722538153277796, -0.5464278024486084, 1.4147046248065394, -2.074160715142721, -1.1203506628619593, -2.415931526814596]","[-0.8292745123039502, -0.689254630634579, 1.1208213424411386, -0.06559382770615005, -0.03978377955532671, -0.17425368216546713]"
2.048000000000002,START d_bow,"[0.3052300197435298, 0.7186439422137367, 0.12114498269007266, -1.6606680669693867, -2.081734437272475, 1.0384576159284373]","[-2.24109393755068, -0.43856854856524663, 1.0116403738604944, -1.3865838956883927, -1.3011186758624476, -2.5700271765338343]","[1.7939597744630291, 1.479139907681101, -0.14901447912839405, -0.11666144690993127, -0.09236433963325881, -0.16790425913059]"
2.671999999999798,END d_bow,"[0.30281818901449475, 0.7498242178872487, 0.1172602035802063, -1.6640245666654871, -2.084450576069537, 1.0378318814244454]","[-2.2152226606952112, -0.36674900472674565, 0.8685506025897425, -1.322483943109848, -1.2867606321917933, -2.548307005559103]","[1.4127827802219366, -0.018875875659784214, 1.533421857641114, 0.006828872212709076, 0.034033652208249526, 0.04659190992767782]"
2.703999999999951,START d_bow,"[0.3028793687506691, 0.7497897207724785, 0.11731244262460687, -1.6640828907597824, -2.0843871210957556, 1.037735252002221]","[-2.2153099218951624, -0.3668448489955445, 0.8686140219317835, -1.3224969667247315, -1.2867525259601038, -2.54832631746401]","[1.2439919285397179, 0.6159027414141425, 1.3312546970787986, 0.009195288130343909, 0.03450595335548813, 0.042376808465991234]"
3.3279999999999745,END d_bow,"[0.3052996086148134, 0.7186279250541834, 0.12120005830511812, -1.6608399703069674, -2.0816400139176174, 1.0381984994256812]","[-2.241183106099264, -0.438631610279419, 1.0116317907916468, -1.386683077817299, -1.3010628859149378, -2.5699670950519007]","[0.14292537004836747, 0.17501415224228756, 2.515597515150274, 0.011960648410269767, -0.1144806223627612, -0.20146884640557144]"
3.3519999999998618,START d_to_a,"[0.305270773524305, 0.7186495242480659, 0.12119084162477178, -1.6607819736343084, -2.0817317341197863, 1.0382299484484876]","[-2.2411349455462855, -0.4385923904231568, 1.0115702787982386, -1.386655406360962, -1.3010981718646448, -2.5699825922595423]","[-0.10888904339084848, 0.3447669862158021, 1.6655171977693488, 0.008211315583339804, -0.09027215002392791, -0.18890160731857275]"
4.295999999999822,START a_bow,"[0.31212246050065806, 0.7683396628612961, 0.11016103088419235, -1.537653981049306, -2.352816802843988, 1.3541137746577074]","[-2.2094290892230433, -0.23549564302478032, 0.5614150206195276, -0.9982165855220337, -1.5946324507342737, -2.6090312639819544]","[-0.7715970677981006, -0.5343669298615027, 2.666874343289615, -0.04309684457937921, -0.14520439337490476, -0.08031164467022005]"
