timestamp,event,TCP_pose,joint_angles,TCP_force
0.0,Unknown (0),"[0.302801809263869, 0.7498462214984757, 0.11727026091951433, -1.6640946736788447, -2.084247366775441, 1.0379170844047148]","[-2.2151930967914026, -0.36676092565570073, 0.8685482184039515, -1.3223977845958252, -1.2866256872760218, -2.5482073465930384]","[1.1570124140918643, -0.5152984542289204, 2.1667923066732873, -0.03692296883243459, -0.09685458346653639, -0.09258333349421947]"
0.20800000000002683,START d_bow,"[0.3027835382410367, 0.7498477523631472, 0.11725830001737575, -1.6640869276717256, -2.0842682858058392, 1.0379742881297576]","[-2.2151745001422327, -0.36676092565570073, 0.8685749212848108, -1.3223942828229447, -1.2866480986224573, -2.54819900194277]","[-0.046855281735198526, 0.0924708447549403, 0.021610366937556313, -0.002522889043240003, -0.004661186014711817, 0.001065707529992213]"
1.0080000000000382,END d_bow,"[0.30517086241083763, 0.7186948998542407, 0.12115662443720866, -1.6607365902718885, -2.0815586558071026, 1.0384113614076185]","[-2.2409966627704065, -0.43856854856524663, 1.0116246382342737, -1.3865955632976075, -1.3009122053729456, -2.5698865095721644]","[-0.38633949770825426, 2.6478805365811033, -1.4097824170385165, 0.10219815443837274, 0.07085249923641354, -0.04132259136745551]"
1.0160000000000196,START d_bow,"[0.30518538651916266, 0.718690406769657, 0.12115819157663561, -1.6607862902741553, -2.0815632622335154, 1.038441224366322]","[-2.241018597279684, -0.43857212484393315, 1.0116165320025843, -1.3865755659392853, -1.3009584585772913, -2.569864098225729]","[-0.9084809884000475, 1.4082910386413412, -0.6213099158384998, 0.11364161755981311, 0.044032382261259884, -0.0414232863132068]"
1.6400000000000432,END d_bow,"[0.3028249462642963, 0.7498184665441967, 0.1172642487049833, -1.6640366857810005, -2.084432136574817, 1.0378741740883803]","[-2.2152345816241663, -0.36676450193438725, 0.8685663382159632, -1.3224540811828156, -1.2867725531207483, -2.5483034292804163]","[0.1387041148518296, 1.19185449389691, -1.1912713850178358, 0.08066932806048127, 0.14326144882429173, 0.15076680762296424]"
1.664000000000044,START d_bow,"[0.30285796226559525, 0.7498082299494471, 0.1172976896401528, -1.6640489589051302, -2.0843881940982874, 1.0377897002963032]","[-2.215273682271139, -0.3668005031398316, 0.8685591856585901, -1.3224505347064515, -1.286736790333883, -2.5483227411853235]","[0.006928623973337988, 0.5309868946638703, -0.6010230263575225, 0.09311326848824046, 0.1233461300381111, 0.1363896277369998]"
2.288000000000011,END d_bow,"[0.30530107972454473, 0.7186224171449747, 0.12120737225600992, -1.6608142507151566, -2.0815879861526074, 1.0382365459557108]","[-2.2411869207965296, -0.4386519950679322, 1.0116561094867151, -1.3866434556296845, -1.301028076802389, -2.5699825922595423]","[-0.9568870182917577, 1.3338465764224843, -0.7969041057727257, 0.11671278813461422, 0.05084579038011367, -0.0517332846003993]"
2.312000000000012,START d_bow,"[0.30524719136908984, 0.7186563392875263, 0.12120219410627776, -1.6607366583798904, -2.0817197625801294, 1.0382507110019268]","[-2.241102997456686, -0.43861623228106694, 1.011592213307516, -1.3866315645030518, -1.3010590712176722, -2.569990936909811]","[-0.672692003647957, 2.3863972356293086, -1.5581135922122855, 0.10748334849881896, 0.07518437407780934, -0.041931323408814225]"
2.9360000000000355,END d_bow,"[0.30282783256392753, 0.7498285195813561, 0.11726540864062183, -1.6640560296473472, -2.08444319885177, 1.037856382395709]","[-2.215231243764059, -0.3667406600764771, 0.8685110251056116, -1.3224421602538605, -1.2867797056781214, -2.5482879320727747]","[-0.16325669319827338, 0.3121869919975119, -0.48923655214603834, 0.08845155706066432, 0.12525815093093148, 0.1400758602739221]"
2.9680000000000177,START d_bow,"[0.30288461760068774, 0.749797019176296, 0.11731694679977467, -1.6640958139249993, -2.0843920979671973, 1.0376764479114975]","[-2.2153099218951624, -0.36682815969500737, 0.8685711065875452, -1.3225127321532746, -1.2867401281939905, -2.548319164906637]","[0.0659983278226792, 0.6439269959407599, -0.7460240293736738, 0.09151929834250642, 0.13707109876280865, 0.13285624450344358]"
3.5920000000000414,END d_bow,"[0.30527957401125866, 0.7186531699603304, 0.12121709732063111, -1.6608039073290581, -2.0816585021017895, 1.03814224287426]","[-2.2411401907550257, -0.43861980855975347, 1.011566464100973, -1.386667550807335, -1.3010161558734339, -2.5699670950519007]","[-0.7178443532246447, 2.171989958314766, -1.0833339616431625, 0.1184854989740162, 0.060560501160022706, -0.054002365800764306]"
3.6160000000000423,START d_bow,"[0.30521007591267707, 0.7186697245837022, 0.12117328406766416, -1.6606805060095486, -2.0817586284306584, 1.0382755642076664]","[-2.2410524527179163, -0.4385768932155152, 1.0115960280047815, -1.3866625291160126, -1.301047150288717, -2.569998089467184]","[-0.746810552005573, 2.100448132455257, -1.5736105652601813, 0.11349011090886518, 0.07522552239651384, -0.031948846447435966]"
4.240000000000009,END d_bow,"[0.30284082584947347, 0.7498119932581018, 0.11726235224805227, -1.6640081264520301, -2.0844259370274942, 1.0378906030449115]","[-2.2152531782733362, -0.3667525810054322, 0.8685467878924769, -1.32242305696521, -1.286776367818014, -2.548338238392965]","[0.0181990379960493, 0.6578799415715842, -0.9105229612955286, 0.09043866078561799, 0.13636310162143123, 0.1408259581986036]"
4.26400000000001,START d_bow,"[0.3028662250052705, 0.7498058601844357, 0.11727794509236301, -1.6640931643798955, -2.084356541499192, 1.0377887388946458]","[-2.2152860800372522, -0.36677666128192143, 0.8685630003558558, -1.32248146951709, -1.2867334524737757, -2.5482950846301478]","[-0.10912711708351194, 0.2777114834329983, -0.5955367476368336, 0.10021018508914259, 0.12746882916714422, 0.12943541026950076]"
4.888000000000034,END d_bow,"[0.30528401697608754, 0.7186353881078614, 0.12119946303077198, -1.6607945895877765, -2.0816170826932354, 1.0382412060690236]","[-2.2411587874041956, -0.438628153210022, 1.0116284529315394, -1.3866434854320069, -1.301028076802389, -2.5699790159808558]","[-1.0286403095380114, 1.7611377750150365, -0.7131169910075611, 0.11938609864342647, 0.051953621029907776, -0.05374357922470729]"
4.912000000000035,START d_bow,"[0.30523898789534815, 0.7186529719462669, 0.12116465436178081, -1.6607451797476969, -2.081706369747803, 1.0383410289914254]","[-2.24109918275942, -0.4385804694942017, 1.0116165320025843, -1.3866351407817383, -1.3010814825641077, -2.5699754397021692]","[-0.8495741997383823, 2.4114983531745535, -1.4861822533199622, 0.11418492282398413, 0.07172166844522304, -0.04110140131663979]"
5.536000000000001,END d_bow,"[0.30285202848294435, 0.7498097667097384, 0.11723330006750358, -1.6640577265435375, -2.0843768905147977, 1.0378848019221645]","[-2.2152684370623987, -0.3667130035213013, 0.8685453573810022, -1.3224647802165528, -1.2867606321917933, -2.548307005559103]","[0.015448984537291155, 1.0965502439105266, -0.9583122905002326, 0.07861108013355562, 0.1362306803661496, 0.14452411481554625]"
