timestamp,event,TCP_pose,joint_angles,TCP_force
0.0,END d_bow,"[0.30396594563901214, 0.7351048194520964, 0.1191102083890004, -1.6625789810891767, -2.0824517234931075, 1.0377078732168714]","[-2.227238480244772, -0.4020232719234009, 0.9390633741961878, -1.354493887429573, -1.2926753203021448, -2.558274571095602]","[-1.6614359928773088, 0.21255978544179666, -3.4952020951435188, -0.04558275301756988, 0.02671455260790371, 0.09217198006752705]"
0.32000000000005,START d_bow,"[0.3039746793327506, 0.7351056291826763, 0.11910640700226137, -1.662570083614727, -2.0824345954230745, 1.037666151525849]","[-2.2272451559649866, -0.4020039600184937, 0.9390409628497522, -1.3545096677592774, -1.292647663746969, -2.558286492024557]","[-0.31224720929026367, -0.3054917104028767, 0.31667942061877635, 0.003401499686076002, -0.012013248091856606, -0.0070959523348351535]"
1.711999999999989,END d_bow,"[0.31330787725113085, 0.6181592176531903, 0.1337653462577195, -1.6502701674460976, -2.0724476935678315, 1.0389776907215804]","[-2.3369341532336634, -0.6232833427241822, 1.3724730650531214, -1.5402472887984295, -1.3566449324237269, -2.64756948152651]","[-1.1423532796059743, 2.2007274701128687, 0.26563643925805047, -0.012007075851525675, -0.10082919245729527, -0.22010690005299913]"
1.73599999999999,START d_bow,"[0.3132554824654664, 0.6181779971222984, 0.13374591206738679, -1.6501668917727041, -2.07248489611401, 1.03906732030819]","[-2.33685547510256, -0.6232630771449585, 1.3724949995623987, -1.54022819668565, -1.3566253821002405, -2.6475849787341517]","[-1.0036460682818833, 3.5562406251724576, -0.502743878149316, -0.03196509635297613, -0.08149610113794298, -0.195544390705205]"
2.9920000000000755,END d_bow,"[0.30395513522192613, 0.7351112566549898, 0.11895488525823159, -1.662443899206961, -2.0823834786008297, 1.0380924487206182]","[-2.227217976246969, -0.40177984655413823, 0.938967529927389, -1.3543507915786286, -1.292699162160055, -2.558338228856222]","[0.11119756444722365, 0.045238073259893055, -0.5892756496352198, 0.00233869854208351, 0.04084793804055513, 0.04528609227104807]"
3.0160000000000764,START d_to_a,"[0.3039905669385297, 0.7350989821651174, 0.11899351681817869, -1.662477407173468, -2.0823809827988886, 1.0379164293370597]","[-2.227262322102682, -0.4018241924098511, 0.938967529927389, -1.3544172507575531, -1.2926748434649866, -2.5583537260638636]","[0.42786296470709045, 0.51655138767343, -0.41008810474069224, 0.010194145193341221, 0.037515519785900384, 0.02777920301245598]"
3.9680000000000746,START a_bow,"[0.3061287658068432, 0.781594677628157, 0.10464296673238271, -1.5410114971824764, -2.3535006156153453, 1.3497936891068332]","[-2.194697682057516, -0.1870010656169434, 0.47373658815492803, -0.9620060485652466, -1.582773510609762, -2.5984323660479944]","[-0.9502745850599086, -0.11292660922946393, 1.2303451748342629, -0.02636898251712184, -0.10945514656665065, -0.04601724328565962]"
5.216000000000008,END a_bow,"[0.34900474428402734, 0.6869187532397204, 0.1436902753744865, -1.5203600759740832, -2.342340366894663, 1.3745519065263636]","[-2.3064149061786097, -0.4485709232142945, 0.9189508597003382, -1.129155622129776, -1.6673439184771937, -2.675988499318258]","[-1.6211946484746078, 0.7115473119796956, 0.4923786334299561, -0.0592982633327968, -0.16478639411501514, -0.10469866376428105]"
5.240000000000009,START a_bow,"[0.3489554905805707, 0.686953034029189, 0.14367489394119726, -1.5202937857159573, -2.3423938196236587, 1.374553081642646]","[-2.306335512791769, -0.4485313457301636, 0.918915096913473, -1.1291590493968506, -1.6673124472247522, -2.6759851614581507]","[-1.4925334626093631, 0.47474091544769476, 0.843848566662305, -0.0655626429250098, -0.16934176609742393, -0.08305919583189153]"
6.488000000000056,END a_bow,"[0.3060776768274046, 0.7816495982265897, 0.10465599962085294, -1.540883611980391, -2.3536988664594354, 1.3498260501170463]","[-2.1946051756488245, -0.18682952344927983, 0.4733346144305628, -0.9617866438678284, -1.5828521887408655, -2.5984562079059046]","[0.3332989741458565, 0.1574007804189595, -0.6630429992323301, -0.0024107216257613293, 0.05498953823144882, 0.04285919815711619]"
