timestamp,event,TCP_pose,joint_angles,TCP_force
0.0,Start D4 on A,"[0.32881737212379847, 0.7996520097986726, 0.12415814608541761, -1.4337254719314638, -2.1074716301761063, 1.4430729999412175]","[-2.1973164717303675, 0.030665917987487745, -0.01287221908569336, -0.5452142518809815, -1.4094417730914515, -2.665499512349264]","[-2.9486511181366, -1.5368588919656283, -0.35093681644694286, -0.04504272097364388, -0.04424448704642385, 0.046602644048207326]"
0.008000000000009777,End D4 on A,"[0.3288203752237371, 0.7996486195304906, 0.12415185435555981, -1.4337324398342695, -2.107479201303419, 1.4431370701360737]","[-2.1973236242877405, 0.030662460918090773, -0.012856709770858288, -0.5451954168132325, -1.4094846884356897, -2.6654840151416224]","[-2.7333931807313134, -1.426933730690319, -0.6291044040890098, -0.04864593587074566, -0.03463066920203429, 0.044020891580225596]"
0.016000000000019554,Start D4 on A,"[0.3287963660191792, 0.7996573664934294, 0.12415310639578711, -1.4336877658300793, -2.1075233083681244, 1.4431381201955413]","[-2.1972931067096155, 0.030665917987487745, -0.012864975258708, -0.5451954168132325, -1.4094880262957972, -2.665499512349264]","[-2.8572594173324455, -1.2969934708863478, -0.6654406884047107, -0.047596969640563744, -0.039849012708659926, 0.05437308457983828]"
0.02400000000000091,End D4 on A,"[0.3288174860854574, 0.7996513252238474, 0.12415690389795293, -1.4337589731613476, -2.107504880635147, 1.4431002093334007]","[-2.197320286427633, 0.030669375056884718, -0.012884259223937988, -0.5452107948115845, -1.4094885031329554, -2.66546875635256]","[-2.904082170017926, -1.562962944247399, -0.3680519906500215, -0.04648570763171614, -0.04295801969097136, 0.04727096590442443]"
0.03200000000001069,Start A3 on A,"[0.3288083921349322, 0.7996527838865145, 0.12413044071652339, -1.433709230593925, -2.1074877984010754, 1.4431398215222815]","[-2.197308365498678, 0.03069691240277095, -0.01287221908569336, -0.5452107948115845, -1.4094765822040003, -2.66549259821047]","[-2.834528661870357, -1.2770563021339203, -0.4069720384761616, -0.05245943974780842, -0.041653486367797386, 0.048893845740509874]"
0.040000000000020464,End A3 on A,"[0.32881869082578186, 0.7996516195088023, 0.1241634880959654, -1.4337573888459423, -2.1075059257528377, 1.4430649261707027]","[-2.197320286427633, 0.030678077335021925, -0.012915470637381077, -0.5452073377421875, -1.4094727675067347, -2.6654773394214075]","[-2.7839957686929164, -1.7555270862994823, -0.40232952067595673, -0.04476724193783921, -0.04181242784298181, 0.046495515705910394]"
0.10400000000001342,Start A3 on A,"[0.3288180639846664, 0.7996489799781734, 0.12413534569633825, -1.4337164737066208, -2.1074634571750135, 1.4431490157876368]","[-2.197320286427633, 0.030681534404418898, -0.012853085994720459, -0.5452023309520264, -1.4094727675067347, -2.66549259821047]","[-2.960101341091188, -1.6612761709396797, -0.17349484033591978, -0.04590810267718848, -0.04597621784683652, 0.04646194262117581]"
0.12000000000000455,End A3 on A,"[0.32882156728571627, 0.7996505513561154, 0.12416940763974081, -1.4337647601130163, -2.1075357958303615, 1.443023318422121]","[-2.1973236242877405, 0.030665917987487745, -0.012903430499136448, -0.5452415508082886, -1.4094808737384241, -2.665480677281515]","[-2.9919235022670425, -1.8059615177841437, -0.35206840345327195, -0.04241133180240685, -0.04186530604048773, 0.0444867770399832]"
0.17600000000001614,Start B3 on A,"[0.32880656357462273, 0.7996545821109251, 0.12415170897715463, -1.4337149395367983, -2.107521241997316, 1.443087326410248]","[-2.1973050276385706, 0.030681534404418898, -0.012891451828181744, -0.5452177089503785, -1.4094765822040003, -2.6654959360705774]","[-3.19481450698738, -1.3933762369092744, -0.5078035740298257, -0.053004361141803694, -0.04747653255745857, 0.05044214470532679]"
0.18400000000002592,End B3 on A,"[0.3287973129513243, 0.7996619653631322, 0.12415150991650463, -1.4337415090515322, -2.107465376769747, 1.4431225436461481]","[-2.1972931067096155, 0.030665917987487745, -0.012861354276537895, -0.5452023309520264, -1.4094417730914515, -2.6654654184924524]","[-3.095224964597388, -1.500721965489755, -0.33563642007855554, -0.04437894299726655, -0.049067054098206386, 0.04993312296266434]"
0.19200000000000728,Start C#4 on A,"[0.3288182298148663, 0.799650689073391, 0.12415302380703336, -1.4337438861934892, -2.10749209800804, 1.4431006701953588]","[-2.197320286427633, 0.030669375056884718, -0.012872204184532166, -0.5452142518809815, -1.4094765822040003, -2.665480677281515]","[-2.9524032697729767, -1.5686131855693195, -0.43735732686125584, -0.04510711555965437, -0.04426963874671515, 0.045748806953457004]"
0.20000000000001705,End C#4 on A,"[0.3288215270163157, 0.7996485562044663, 0.12414296671983113, -1.433732853878768, -2.107501713242716, 1.443073106395433]","[-2.1973236242877405, 0.030681534404418898, -0.012868575751781464, -0.5452450078776856, -1.4094727675067347, -2.6654959360705774]","[-3.3277740716155653, -1.315900639196813, -0.3240320249015707, -0.05194036827764574, -0.05288682996313058, 0.05768413421249339]"
0.20800000000002683,Start D4 on A,"[0.3288071553337776, 0.7996554428208335, 0.12414914299762433, -1.433720154534859, -2.107493252032643, 1.443091567257325]","[-2.1973050276385706, 0.03068499147381587, -0.012891480699181557, -0.5452107948115845, -1.409457031880514, -2.66549259821047]","[-3.1573933295591674, -1.5617560826034314, -0.43770928912989593, -0.04272696410301717, -0.04032142845297667, 0.0477271285700454]"
0.21600000000000819,End D4 on A,"[0.32882078296650985, 0.7996481684033659, 0.12414155248406318, -1.4337307796599046, -2.107503764747404, 1.4430958466080264]","[-2.1973236242877405, 0.030674739474914503, -0.0128530478104949, -0.5452415508082886, -1.4094846884356897, -2.66549259821047]","[-2.769534560586763, -1.3257622041695836, -0.4193608031974987, -0.04760554503740319, -0.045054748850609797, 0.06037591587794637]"
0.22400000000001796,Start B3 on A,"[0.3288184970404966, 0.7996497956301087, 0.12416559254025547, -1.433733293836749, -2.1075245086758128, 1.4430739077933863]","[-2.197320286427633, 0.030662460918090773, -0.01288788765668869, -0.5452142518809815, -1.4094885031329554, -2.66549259821047]","[-3.0685097588017824, -1.5211078200114176, -0.7518367435517881, -0.05067122979693198, -0.0399457197757955, 0.0503607238225839]"
0.23199999999999932,End B3 on A,"[0.32883494651009515, 0.7996452252183026, 0.12417248702697499, -1.4337735145994386, -2.1075067734413566, 1.4430228088126222]","[-2.1973398367511194, 0.030662460918090773, -0.012903416529297829, -0.5452296298793335, -1.4094727675067347, -2.6654840151416224]","[-2.9867643872348744, -1.4552345329904124, -0.4664291575649311, -0.04610244675106876, -0.03831769582201808, 0.04956718173663997]"
0.2400000000000091,Start A3 on A,"[0.32880241125756093, 0.7996564011807885, 0.12415385060999656, -1.4337229688657793, -2.107518422158694, 1.4431226257602394]","[-2.197301212941305, 0.030665917987487745, -0.012868575751781464, -0.5452073377421875, -1.4094885031329554, -2.665480677281515]","[-2.9585466910303477, -1.5518505820713442, -0.2561644632938833, -0.04700411100727442, -0.05169685029605819, 0.05210880064874433]"
0.24800000000001887,End A3 on A,"[0.3288055975745888, 0.79965651270786, 0.12414745801550614, -1.4337419065136756, -2.107488023727933, 1.4431283672864141]","[-2.1973050276385706, 0.030665917987487745, -0.012853061780333519, -0.5452142518809815, -1.4094727675067347, -2.66546875635256]","[-3.019681815090741, -1.3972017550615894, -0.6516651607887811, -0.051950307428762596, -0.037624746707834604, 0.051019821306445994]"
0.2560000000000002,Start A3 on A,"[0.3288229279313613, 0.7996474850387723, 0.1241613920878442, -1.4337492237704168, -2.1075288444395044, 1.4430897749955256]","[-2.197327438985006, 0.030665917987487745, -0.012887895107269287, -0.5452142518809815, -1.4095075766192835, -2.665480677281515]","[-2.8817568841868306, -1.6893812822521226, -0.33362145043916436, -0.043621804218166874, -0.04346055961193131, 0.04647347520330151]"
0.26400000000001,End A3 on A,"[0.3288216587248188, 0.7996479991469282, 0.12414086670329802, -1.4337130574033814, -2.107445053020489, 1.4431412021719663]","[-2.1973236242877405, 0.03068499147381587, -0.01287221908569336, -0.5451834958842774, -1.409457031880514, -2.665499512349264]","[-2.9913428852702983, -1.5144015398111972, -0.6409450786052855, -0.04960428321167947, -0.040981255900824846, 0.05048494277790391]"
0.2720000000000198,Start transition on A-D,"[0.32883374327184123, 0.7996463495265439, 0.12416630332131082, -1.4337926662107707, -2.1074833620107314, 1.4430655221981539]","[-2.1973398367511194, 0.030665917987487745, -0.012899787165224552, -0.5452107948115845, -1.4094765822040003, -2.665461842213766]","[-2.8448450356602475, -1.4158982610075124, -0.8040744117505311, -0.051455889870064754, -0.034795652365894394, 0.04326824503240936]"
0.28000000000000114,End transition on A-D,"[0.32882092003192975, 0.7996486311121238, 0.12414651863000728, -1.4337361991867763, -2.1074807877008794, 1.443124296672939]","[-2.1973241011248987, 0.030669375056884718, -0.012856676243245602, -0.5452107948115845, -1.4094808737384241, -2.6654840151416224]","[-2.8672402276158397, -1.782918906395319, -0.4571299635454975, -0.04384149290216012, -0.04451759361523712, 0.04519681433392639]"
0.2880000000000109,Start G3 on D,"[0.32880747824137935, 0.7996572208057614, 0.12417215955243957, -1.4337417803667607, -2.107498068941576, 1.443070011172052]","[-2.1973050276385706, 0.030662460918090773, -0.012903416529297829, -0.5451954168132325, -1.4094536940204065, -2.665480677281515]","[-2.969901378114454, -1.5634691834194705, -0.3162913769700786, -0.044279585466591664, -0.042796799657822245, 0.045583384307812065]"
0.2960000000000207,End G3 on D,"[0.32880502755995367, 0.7996584930677187, 0.12415090988838975, -1.4337758279813921, -2.1074981029401805, 1.443109935446478]","[-2.1973050276385706, 0.030662460918090773, -0.012856697663664818, -0.5452296298793335, -1.4094765822040003, -2.6654465834247034]","[-2.9149813172342256, -1.1573216110122297, -0.44286354193148747, -0.048492014673598156, -0.04045514405879626, 0.05294778208188086]"
0.30400000000000205,Start G3 on D,"[0.3288190725927825, 0.7996536852949896, 0.12416520658279898, -1.433780450652637, -2.1074794442597495, 1.4430627902727071]","[-2.197320286427633, 0.030662460918090773, -0.012887883000075817, -0.5452177089503785, -1.4094536940204065, -2.665461842213766]","[-3.0168132645847328, -1.8732352903159961, -0.31311500098331835, -0.04093776010748702, -0.04263488407927941, 0.04500882950772809]"
0.3120000000000118,End G3 on D,"[0.328793965616358, 0.7996614393754293, 0.1241582983620243, -1.433722862235353, -2.1075243090059637, 1.4430926973552085]","[-2.19728929201235, 0.030669375056884718, -0.012884259223937988, -0.5452142518809815, -1.409468952809469, -2.665480677281515]","[-3.0661391964012044, -1.3448558344392896, -0.6103736910261754, -0.04939279038895992, -0.04001731167655395, 0.05091885767806484]"
0.3200000000000216,Start F#3 on D,"[0.328804796134712, 0.7996562203231093, 0.1241544592901705, -1.433747089617746, -2.107522586107946, 1.4431170846422636]","[-2.1973050276385706, 0.030665917987487745, -0.01287221908569336, -0.5452142518809815, -1.4094956556903284, -2.6654654184924524]","[-2.733275388631169, -1.16671681223402, -0.5528713198712312, -0.05144929952825335, -0.04030147485513948, 0.053858489798357]"
0.32800000000000296,End F#3 on D,"[0.3288208531954821, 0.7996499599402414, 0.12414474744469169, -1.4337564902305353, -2.1075001363120753, 1.4430773829786638]","[-2.1973236242877405, 0.030678077335021925, -0.01286859530955553, -0.5452450078776856, -1.4094765822040003, -2.6654773394214075]","[-2.7732992691967517, -1.62256197744818, -0.502531438688065, -0.044241293013685304, -0.0389321283400484, 0.04326454791104124]"
0.33600000000001273,Start F#3 on D,"[0.32882180317287646, 0.7996504616782445, 0.12415336067859509, -1.4337534608472315, -2.107475002247719, 1.44307884409068]","[-2.1973236242877405, 0.030681534404418898, -0.012896180152893066, -0.5452107948115845, -1.409457031880514, -2.665480677281515]","[-3.1667314391858863, -1.1194489748355256, -0.6729522321754384, -0.05374892940530393, -0.04497664203341255, 0.052026560012607345]"
0.3440000000000225,End F#3 on D,"[0.3288117445333207, 0.7996526187820537, 0.12416119235488704, -1.4337220245066622, -2.107511547068085, 1.4430966193721606]","[-2.1973117033587855, 0.030665917987487745, -0.012884259223937988, -0.5452023309520264, -1.4094799200641077, -2.66549259821047]","[-2.9404155656268998, -1.2287270486817727, -0.4279976646178931, -0.05171228838815291, -0.04179202208638635, 0.052295831245590216]"
0.35200000000000387,Start E3 on D,"[0.32882131965986644, 0.799647830016162, 0.12414244718856086, -1.4337190054781457, -2.107481903894969, 1.4431106405219722]","[-2.1973236242877405, 0.030681534404418898, -0.01286859530955553, -0.5452142518809815, -1.4094727675067347, -2.665499512349264]","[-2.9797687068401006, -1.5631350627750316, -0.4118266463162261, -0.04670874697188712, -0.040706539144219955, 0.048092978905715414]"
0.36000000000001364,End E3 on D,"[0.3287934575432656, 0.7996575691120642, 0.1241266351680213, -1.433666769681999, -2.1074918936613507, 1.4431718503578228]","[-2.19728929201235, 0.03070025026287837, -0.01286858320236206, -0.5451919597438355, -1.4094727675067347, -2.6655078569995325]","[-3.056779788074622, -1.27789817945063, -0.7085142946733715, -0.04774509295245895, -0.0366121214517226, 0.05191255446079241]"
0.3680000000000234,Start D3 on D,"[0.328820296188283, 0.7996516476522312, 0.12418156133959038, -1.4337462916559909, -2.107507249482562, 1.4430320105899535]","[-2.197320286427633, 0.030650539989135694, -0.012899787165224552, -0.5452107948115845, -1.409457031880514, -2.66549259821047]","[-3.0731623513627033, -1.496020616884765, -0.25358740222450127, -0.04612289680384779, -0.04614058034385109, 0.05081805397626209]"
0.3760000000000048,End D3 on D,"[0.3288324709649204, 0.7996467281109315, 0.12416199177777779, -1.4337713925965174, -2.1074777373553797, 1.443045340298099]","[-2.197336498891012, 0.030669375056884718, -0.012891486287117004, -0.5452261728099366, -1.409457031880514, -2.665480677281515]","[-2.910336834319917, -1.1694316126154698, -0.4078952656031778, -0.0455752372817877, -0.038331919344950144, 0.054565166599686875]"
0.38400000000001455,Start E3 on D,"[0.3288079407651821, 0.7996550453538558, 0.12414056834947018, -1.4337428259036495, -2.10748594147908, 1.4431336011531444]","[-2.197308365498678, 0.030681534404418898, -0.012868575751781464, -0.5452107948115845, -1.4094765822040003, -2.66546875635256]","[-2.857705842275249, -1.379121765885856, -0.639926738811759, -0.051275603237064704, -0.03745332783804703, 0.04666485316607115]"
0.39200000000002433,End E3 on D,"[0.3288177187751333, 0.7996510812457588, 0.12416438118168664, -1.4337552089355832, -2.107517562783141, 1.4430867865243433]","[-2.197320286427633, 0.030662460918090773, -0.01288788765668869, -0.5452107948115845, -1.4094918409930628, -2.665473763142721]","[-3.111540193579184, -1.2483281506054231, -0.4568056308992219, -0.048891263826406045, -0.04383988173676888, 0.04859730383333492]"
0.4000000000000057,Start F#3 on D,"[0.32880936348506107, 0.7996539484271052, 0.12414698489134632, -1.433722400289935, -2.10750627706091, 1.4430882914867482]","[-2.197308365498678, 0.030678077335021925, -0.012872233986854553, -0.5452296298793335, -1.409468952809469, -2.66549259821047]","[-3.0567674972296848, -1.4173804622838784, -0.4962934478660408, -0.04853852017271124, -0.042845688453759384, 0.048219566139121484]"
