timestamp,event,TCP_pose,joint_angles,TCP_force
0.0,Start D4 on A,"[0.33663352762320353, 0.7733319432765329, 0.10390863987563595, -1.369804929003203, -2.336185264509478, 1.32702252084455]","[-2.218348805104391, -0.10785122335467534, 0.3315485159503382, -0.8747368615916749, -1.5480921904193323, -2.7381446997271937]","[0.7604794252826889, -0.49614112883175343, -0.8151412506301657, 0.06086870499094096, 0.12013811418869962, 0.10182425954842178]"
0.00800000000072032,End D4 on A,"[0.33665945437274264, 0.773322672467856, 0.10393957001474009, -1.3698276436845171, -2.3361906341557988, 1.3269604360286464]","[-2.218379322682516, -0.10788245618853765, 0.3315365950213831, -0.8747332853129883, -1.548096005116598, -2.7381604353534144]","[0.5497940721672792, -0.45347857302224626, -0.8425265435750354, 0.057044348805083266, 0.11112116649033256, 0.10047894561872765]"
0.016000000000531145,Start D4 on A,"[0.336650654133333, 0.773333608246656, 0.10395007840081631, -1.3698982655350922, -2.336178768750462, 1.3269305403051306]","[-2.218367401753561, -0.10788615167651372, 0.33151370683778936, -0.8747332853129883, -1.5480731169330042, -2.738110129033224]","[0.7834349713197699, -0.5875389030494629, -0.5397706297955897, 0.060632549534564074, 0.11606663592283459, 0.09615231555910872]"
0.02400000000034197,End D4 on A,"[0.33664917035106784, 0.7733292216067221, 0.10394798521530468, -1.3698595363556436, -2.3361721868822327, 1.3269702075894227]","[-2.218367401753561, -0.10790164888415532, 0.3315523306476038, -0.8747249406627198, -1.5480802694903772, -2.738129202519552]","[0.5200759328007964, -0.35238444486840736, -0.8142894977010852, 0.055812774837157055, 0.11084821543320726, 0.10314703418466283]"
0.032000000000152795,Start A3 on A,"[0.3366554429962459, 0.773321860961465, 0.10392169273213053, -1.3698542386552763, -2.336140927853351, 1.3270422854261255]","[-2.218379322682516, -0.10788245618853765, 0.33157664934267217, -0.8747177881053467, -1.548096005116598, -2.7381256262408655]","[0.5888514562344677, -0.3459927145108271, -0.5071522649391479, 0.05932720259963036, 0.11271459015835794, 0.10319798635398253]"
0.03999999999996362,End A3 on A,"[0.3366496935129005, 0.7733294959643197, 0.10394265501021824, -1.3698578222370437, -2.3361952732001687, 1.3269554466937108]","[-2.218367401753561, -0.10788603246722417, 0.3315332571612757, -0.8747368615916749, -1.5480921904193323, -2.7381327787982386]","[0.552567609458142, -0.29778155160739705, -0.8775726721500292, 0.053020708977494696, 0.11274031432859358, 0.1022283591706863]"
0.04800000000068394,Start A3 on A,"[0.3366358847096545, 0.7733354517680184, 0.10394334783904567, -1.3698279496569223, -2.336221522426385, 1.3269583493572132]","[-2.218348805104391, -0.10788245618853765, 0.33152467409242803, -0.8747332853129883, -1.548096005116598, -2.738141123448507]","[0.58483968707658, -0.2698036987998563, -0.6174144948012622, 0.054407858896777975, 0.11515846448334796, 0.10581324800399108]"
0.056000000000494765,End A3 on A,"[0.33665195425421074, 0.7733333300988914, 0.10396347180687082, -1.3698832099353442, -2.3362046663134537, 1.3269041594661843]","[-2.218367401753561, -0.10789795339617925, 0.3315056006060999, -0.8747332853129883, -1.5480802694903772, -2.7381256262408655]","[0.5389681807520057, -0.3648111600089725, -0.8904169693273843, 0.0522327441432618, 0.11323444380499646, 0.10183906893263314]"
0.06400000000030559,Start B3 on A,"[0.3366589955718952, 0.7733260737838762, 0.10393119464515346, -1.3698662204034922, -2.336167247103098, 1.3269823821802018]","[-2.218379322682516, -0.10786314428363042, 0.33151370683778936, -0.8747177881053467, -1.5480921904193323, -2.738129202519552]","[0.4900888324481742, -0.32188062432168973, -0.9582083274589448, 0.05133478133382287, 0.11624273659497825, 0.10577842301718195]"
0.07200000000011642,End B3 on A,"[0.33665780829627656, 0.7733268827978795, 0.10393633117726819, -1.3698981833913588, -2.336139312433983, 1.32697037188144]","[-2.218379322682516, -0.10788603246722417, 0.3315485159503382, -0.8747332853129883, -1.5480683485614222, -2.738110129033224]","[0.6242904994870424, -0.3150502689238052, -0.8244110490093542, 0.05410510871838299, 0.11690204222146314, 0.10104954293919291]"
0.07999999999992724,Start C#4 on A,"[0.3366480007516851, 0.7733297742781358, 0.10394493962391377, -1.369826227490332, -2.3361748315534823, 1.3269813146955074]","[-2.2183640638934534, -0.10788603246722417, 0.33152944246401006, -0.8747058671763916, -1.5480802694903772, -2.73814827600588]","[0.6724408382150833, -0.464216598976496, -0.7572729456374634, 0.05073231882382022, 0.11081443200482008, 0.09822853177049139]"
0.08800000000064756,End C#4 on A,"[0.33663372740552755, 0.7733350876937858, 0.10392305464410537, -1.3698487388359748, -2.336205735587319, 1.3269806867213843]","[-2.218348805104391, -0.10786660135302739, 0.33154136339296514, -0.8747526568225403, -1.548096005116598, -2.738122049962179]","[0.7788596583015076, -0.20611342553013778, -0.9568615168905534, 0.05499677544015481, 0.12320676963810277, 0.10478215402883927]"
0.24000000000069122,Start D4 on A,"[0.33664742978978607, 0.7733319384318661, 0.10393430775438768, -1.3698643672128872, -2.3361750743022087, 1.3269608702164033]","[-2.2183640638934534, -0.10787029684100347, 0.331522289906637, -0.8747332853129883, -1.5480764547931116, -2.7381256262408655]","[0.6744415287364488, -0.5853005759380469, -0.5227368349375783, 0.0615072245855294, 0.11303984794645561, 0.10247211831227392]"
