timestamp,event,TCP_pose,joint_angles,TCP_force
0.0,Start G4 on A,"[0.5039419379978053, 0.3464040156476881, 0.3075433449953274, -1.4457640241450405, -2.2061376764265237, 1.3508476787383712]","[-2.818890158330099, -0.9453007143786927, 1.4368823210345667, -1.1558102828315278, -1.950700585042135, -3.040825668965475]","[-0.9674870120871631, -0.4509865716871701, 0.4534141488172518, -0.14874958200982175, -0.12609463387292502, 0.0005005127017245758]"
0.008000000001629815,End G4 on A,"[0.5039560189348801, 0.34639520144088903, 0.30755930310669816, -1.4458016411529773, -2.206163814818739, 1.3507917701132075]","[-2.818909231816427, -0.945304350262024, 1.4368441740619105, -1.15582229316745, -1.950700585042135, -3.040844504033224]","[-1.178208702044648, -0.4239921017830253, 0.2674909460342822, -0.15158451413923124, -0.12925403980831077, -0.003289249943615985]"
0.01600000000144064,Start F#4 on A,"[0.5039473150144721, 0.34639594802162277, 0.3075344374016482, -1.445730462490461, -2.2060834544234926, 1.3508819355758355]","[-2.8189056555377405, -0.9452888530543824, 1.4368894735919397, -1.1557758909514924, -1.9506967703448694, -3.0408292452441614]","[-1.0054125053056182, -0.41615847214306845, 0.5435698275995806, -0.14537812084739657, -0.13259392181370286, -0.002678121198852315]"
0.024000000001251465,End F#4 on A,"[0.5039519807651305, 0.3464003660911886, 0.3075547438743326, -1.445844828851416, -2.2061292173399973, 1.3508164121174182]","[-2.8189056555377405, -0.945304350262024, 1.4368513266192835, -1.1558103424361725, -1.950693432484762, -3.0407982508288782]","[-0.778196516483323, -0.47187255253280685, 0.4557688275457876, -0.14907347623604228, -0.12421485486766647, -0.002573617804381992]"
0.03200000000106229,Start G4 on A,"[0.5039518155598306, 0.34639710208376195, 0.3075384678060208, -1.4457657924091478, -2.206122094582846, 1.3508439470052405]","[-2.8189056555377405, -0.9452852171710511, 1.4368708769427698, -1.1558103126338501, -1.950700585042135, -3.040832583104269]","[-1.0506424116858857, -0.06196587922471425, 0.5054990927416089, -0.1560287689002321, -0.1298250279021735, 0.0042694959307660735]"
0.040000000000873115,End G4 on A,"[0.5039486759644948, 0.3463958049980943, 0.30753451209552973, -1.4457690099868226, -2.2060880782718333, 1.3508808886653134]","[-2.818909231816427, -0.9452888530543824, 1.4368856588946741, -1.1557878416827698, -1.9507043997394007, -3.0408101717578333]","[-0.9487044286215018, -0.2808956527248356, 0.38420034929760244, -0.15039791974305713, -0.12671708228616496, 0.003952938803098549]"
0.04800000000068394,Start E4 on A,"[0.5039500859255002, 0.3463946698438171, 0.3075530770656293, -1.4457681733053735, -2.2061082437128934, 1.350847305232468]","[-2.818909231816427, -0.9453079265407105, 1.4368675390826624, -1.1557759207538147, -1.9506967703448694, -3.0408290068255823]","[-0.873856242102554, -0.5056139599663406, 0.6886656076908155, -0.14660346760769183, -0.13015297327996025, -0.003827743421199764]"
0.056000000000494765,End E4 on A,"[0.503945387574622, 0.34639803529315777, 0.3075593258469244, -1.445836452039455, -2.206129120159666, 1.3508290519076058]","[-2.8189056555377405, -0.9453236025622864, 1.4368708769427698, -1.1558032792857666, -1.950700585042135, -3.0407982508288782]","[-0.9685315416379636, -0.3851204619151575, 0.6438497317648368, -0.15146843853845923, -0.13539111115196764, -0.0040675149850615405]"
0.06400000000030559,Start F#4 on A,"[0.5039419404413903, 0.3464017250295797, 0.3075451329970402, -1.445734089163789, -2.2060955318482867, 1.3508647055765513]","[-2.8188937346087855, -0.945304350262024, 1.4368856588946741, -1.1557688874057312, -1.9506848494159144, -3.0408290068255823]","[-0.9184471863160113, -0.7893912767188865, 0.6225796679157377, -0.14010675305461107, -0.12762973236319203, -0.0039901052408007065]"
0.07200000000011642,End F#4 on A,"[0.503950036404416, 0.3463872742609507, 0.30754479759626663, -1.445790112217108, -2.20611983048896, 1.3508495284042255]","[-2.818921152745382, -0.9453079265407105, 1.4368894735919397, -1.155813829307892, -1.9507163206683558, -3.040825668965475]","[-0.8689179819710936, -0.5601953074209257, 0.46972816021551966, -0.1514799252497499, -0.12982507265106236, -0.004117970234475396]"
